Prefix,Prefix Length,Destination,Traffic Type,Operator,Exact Match Flag
1122,4,,Free,Unknown,N
15148,5,,Free,Unknown,N
15149,5,,Free,Unknown,N
15161,5,,Free,Unknown,N
15170,5,,Unknown-T,Unknown,N
97059105,10,,Free,Free,N
97059106,10,,Free,Free,N
97259100,10,,Unknown-T,Free,N
97259101,10,,Unknown-T,Free,N
97259102,10,,Unknown-T,Free,N
97259105,10,,Unknown-T,Free,N
97259106,10,,Unknown-T,Free,N
97259111,10,,Unknown-T,Free,N
97259112,10,,Unknown-T,Free,N
97259122,10,,Unknown-T,Free,N
97259123,10,,Unknown-T,Free,N
97259124,10,,Unknown-T,Free,N
59100,6,,Unknown-T,Free,N
59101,6,,Unknown-T,Free,N
59102,6,,Unknown-T,Free,N
59105,6,,Unknown-T,Free,N
59106,6,,Unknown-T,Free,N
59111,6,,Unknown-T,Free,N
59112,6,,Unknown-T,Free,N
59122,6,,Unknown-T,Free,N
59123,6,,Unknown-T,Free,N
59124,6,,Unknown-T,Free,N
100,3,,Free,Free,N
101,3,,Free,Free,N
102,3,,Free,Free,N
106,3,,Unknown-T,Free,N
110,3,,Unknowon-T,Jawwal,N
111,3,,Free,Free,N
112,3,,Free,Free,Y
1133,4,,Free,Dealers CallCenter,N
1144,4,,Unknown-T,Small Business Information,N
1188,4,,Unknowon-T,Network Support Line,N
121,3,,Free,Free,N
122,3,,Free,Free,N
123,3,,Free,Free,N
124,3,,Unknown-T,Free,N
133,3,,Charged,Gaza Electricity Company Line,N
137,3,,Free,Free Lebanon,N
138,3,,Free,Free Lebanon,N
144,3,,Charged,PALTEL,N
15100,5,,Free,Entertainment Services,N
15101,5,,Free,MCN,N
15102,5,,Free,Religious Services,N
15103,5,,Free,Competition,N
15104,5,,Free,Black list- SMS,N
15105,5,,Free,Mother day campaign,N
15106,5,,Unknown-T,VAS Bundle,N
15107,5,,Free,Dardish Campaign,N
15108,5,,Free,BBC and Al Arabia Information,N
15109,5,,Free,Al Arabia & Al BBC information,N
15110,5,,Free,Push Bundle,N
15111,5,,Free,SIM Selection,N
15112,5,,Free,Prepadi Pointing System,N
15113,5,,Free,Pointing System info,N
15114,5,,Free,Jawwal- USSD info,N
15115,5,,Free,STK Information,N
15116,5,,Free,voice SMS /Testing Sim,N
15117,5,,Free,Jawwal Classification,N
15118,5,,Free,SMS plan message phase 3,N
15119,5,,Free,horoscope,N
15120,5,,Free,Ramadan Services,N
15121,5,,Free,Twin SIM,N
15122,5,,Free,ArabiaCell Enertainment Services,N
15123,5,,Free,Pointing System information,N
15124,5,,Free,Streaming,N
15125,5,,Free,call collect,N
15126,5,,Free,Collection IVR,N
15127,5,,Free,Testing Code,N
15128,5,,Free,Special Subscribers Exceptions,N
15129,5,,Free,Migration,N
15130,5,,Free,Mazad info IVR,N
15131,5,,Free,Confidential Campaign,N
15132,5,,Free,voice SMS,N
15133,5,,Unknown-T,Real Madrid,N
15134,5,,Free,MMS Content Information,N
15135,5,,Free,MMS Trial,N
15136,5,,Free,Unified Plan Information,N
15137,5,,Free,Dardesh weekend,N
15138,5,,Free,Mazad-info,N
15139,5,,Free,SIM Replacement plan,N
15140,5,,Free,Currencies Offer,N
15141,5,,Free,Tawjihi,N
15142,5,,Free,Jawwal- Call me back SMS info,N
15143,5,,Free,Civil Package,N
15144,5,,Free,Twin sim- prepaid slave,N
15145,5,,Free,Jawwal Thawani,N
15146,5,,Free,Unified Package,N
15147,5,,Free,Prepaid Voice Repricing,N
15162,5,,Free,Turmous,N
15163,5,,Free,Kartak 3arabi,N
15164,5,,Free,Civil & Militay camp,N
15165,5,,Free,Wap & internet bundle,N
15167,5,,Free,WAP Push Promotions,N
15168,5,,Free,MMS promotion campaign,N
15169,5,,Free,Prepaid expired lines,N
15172,5,,Free,Thawany Offer,N
15173,5,,Free,Super Swap,N
15174,5,,Free,Push SMS free trial,N
15175,5,,Free,Handicapped IVR,N
15176,5,,Free,New prepaid package,N
15177,5,,Free,Ramdan Campaign,N
15178,5,,Free,Dearest 2,N
15179,5,,Free,Free entertainment bundles,N
15180,5,,Free,calls to jordan,N
15181,5,,Free,MCB,N
15182,5,,Free,SMS box for prepaid,N
15183,5,,Free,Zero face book,N
15184,5,,Free,Villages Camp,N
15185,5,,Free,SMS free trial,N
15186,5,,Unknown-T,Valentine Campaign,N
15187,5,,Free,Prophet birth campaign,N
15188,5,,Unknown-T,IVR_info,N
15189,5,,Free,Mother's Day Campaign,N
15190,5,,Free,Gaza Bonus on Refill Campaign,N
15191,5,,Free,Civil & Military Plans,N
15192,5,,Free,Tawjihi handsets Campaign,N
15193,5,,Free,Gaza offer,N
15194,5,,Free,SK Thawany,N
15195,5,,Free,1000 free kartak,N
15196,5,,Free,Bonus on voucher,N
15197,5,,Free,Eid campaign,N
15198,5,,Free,New MIX,N
15199,5,,Free,Info Arab Bank Visa,N
15200,5,,Free,One Network,N
15202,5,,Free,Temp Disconnection,N
1555,4,,Free,JawwalFree,N
161,3,,Free,Free,N
166,3,,Charged,PALTEL,N
167,3,,Charged,CustomerCare Testing,N
1700,4,,Charged,PALTEL,N
1700100600,10,,Charged,PIA,N
1700150155,10,,Charged,Charged,N
1700161616,10,,Charged,Charged,N
1700200200,10,,Charged,Charged,N
1700200500,10,,Charged,Charged,N
1700202020,10,,Charged,Paltelxxx,N
1700222444,10,,Charged,Unknown,N
1700250050,10,,Charged,Unknown,N
1700250140,10,,Charged,Unknown,N
1700281281,10,,Charged,Unknown,N
1700282828,10,,Charged,Unknown,N
1700296296,10,,Charged,Charged,N
1700300200,10,,Charged,Charged,N
1700300300,10,,Charged,Charged,N
1700300400,10,,Charged,Charged,N
1700300500,10,,Charged,Charged,N
1700300600,10,,Charged,Charged,N
1700300700,10,,Charged,Charged,N
1700300900,10,,Charged,Charged,N
1700303030,10,,Charged,Charged,N
1700304050,10,,Charged,Charged,N
1700333335,10,,Charged,Charged,N
1700333444,10,,Charged,Sbetani,N
1700333567,10,,Charged,Charged,N
1700400500,10,,Charged,Charged,N
1700500900,10,,Charged,Charged,N
1700600500,10,,Charged,Charged,N
1700600600,10,,Charged,Charged,N
1700600700,10,,Charged,Charged,N
1700647726,10,,Charged,Unknown,N
1700666555,10,,Charged,Charged,N
1700700000,10,,Charged,Charged,N
1700700100,10,,Charged,Unknown,N
1700700700,10,,Charged,Charged,N
1700708090,10,,Charged,Unknown,N
1700777888,10,,Charged,Unknown,N
1700800800,10,,Charged,Unknown,N
1700870835,10,,Charged,Unknown,N
1700900400,10,,Charged,Charged,N
1700966966,10,,Charged,Unknown,N
1800100111,10,,Free,Unknown,N
1800101020,10,,Unknown-T,Unknown,N
1800111000,10,,Free,Unknown,N
1800111888,10,,Unknown-T,Unknown,N
1800112233,10,,Unknown-T,Unknown,N
1800115000,10,,Unknown-T,Paltel TollFree,N
1800121212,10,,Unknown-T,Unknown,N
1800122122,10,,Unknown-T,President office,N
1800123000,10,,Unknown-T,Unknown,N
1800123500,10,,Unknown-T,Unknown,N
1800124124,10,,Free,Unknown,N
1800147369,10,,Unknown-T,Unknown,N
1800161616,10,,Charged,Unknown,N
1800180180,10,,Free,Aman,N
1800181818,10,,Unknown-T,Unknown,N
1800199199,10,,Unknown-T,Charged,N
1800200200,10,,Unknown-T,Unknown,N
1800200700,10,,Unknown-T,Gaza Se7ah,N
1800200800,10,,Unknown-T,Unknown,N
1800201011,10,,Charged,Unknown,N
1800203040,10,,Free,Care International Organization,N
1800210210,10,,Unknown-T,Unknown,N
1800222000,10,,Unknown-T,Ministry of Health,N
1800222333,10,,Free,Paltel TollFree,N
1800225588,10,,Unknown-T,Unknown,N
1800231111,10,,Unknown-T,Yamama Code,N
1800245576,10,,Unknown-T,Unknown,N
1800246155,10,,Unknown-T,Fuad Taxi office,N
1800250250,10,,Unknown-T,Unknown,N
1800272727,10,,Unknown-T,Unknown,N
1800287072,10,,Unknown-T,Toll,N
1800300200,10,,Unknown-T,Unknown,N
1800300300,10,,Unknown-T,Unknown,N
1800300500,10,,Unknown-T,Unknown,N
1800300900,10,,Unkown-T,Toll,N
1800303030,10,,Unkown-T,Ramalla Gov,N
1800304050,10,,Unkown-T,Charged,N
1800310410,10,,Unknown-T,Unknown,N
1800333000,10,,Unknown-T,Unknown,N
1800350025,10,,Unknown-T,Al-Ghawth Agency,N
1800380162,10,,Unknown-T,VSMS,N
1800400100,10,,Unknown-T,Unknown,N
1800400444,10,,Free,Uni Pal Company,N
1800400600,10,,Unknown-T,Unknown-T,N
1800400700,10,,Unknown-T,Gaza Se7ah,N
1800432567,10,,Unknown-T,Unknown,N
1800440440,10,,Unknown-T,Unknown,N
1800440444,10,,Unkown-T,Toll,N
1800456789,10,,Unknown-T,Unknown,N
1800460444,10,,Free,Tolllllllll,N
1800463120,10,,Unknown-T,Unknown,N
1800500100,10,,Unknown-T,Unknown,N
1800534880,10,,Unknown-T,Unknown,N
1800535535,10,,Unknown-T,Beyalara Comp,N
1800550550,10,,Unknown-T,Arab Company for shopping centers,N
1800555313,10,,Unknown-T,Tollllllllll,N
1800555666,10,,Unknown-T,Unknown,N
1800572722,10,,Unknown-T,Unknown,N
1800600500,10,,Free,alshareka al 7adetha,N
1800600900,10,,Unknown-T,Unknown,N
1800700400,10,,Unknown-T,Unknown,N
1800733426,10,,Unknown-T,Ray7an,N
1800777666,10,,Unknown-T,Charged,N
1800777777,10,,Unknown-T,Unknown,N
1800800400,10,,Unknown-T,Paltel Toll Free - Ramalla,N
1800800600,10,,Unknown-T,Unknown,N
1800800900,10,,Unknown-T,Tollllllll,N
1800808808,10,,Unknown-T,Unknown,N
1800882882,10,,Free,Unknown,N
1800888000,10,,Free,Charged,N
1800888700,10,,Unknown-T,Tollllllllll,N
1800888888,10,,Unknown-T,Tolllllllll,N
1800888999,10,,Unknown-T,Unknown,N
1800896995,10,,Unknown-T,Unknown,N
1800901222,10,,Unknown-T,Taxi,N
1800959515,10,,Unknown-T,Nakabt Al 3ommal,N
1800976536,10,,Unknown-T,Unknown,N
1811,4,,Charged,PALTEL,N
1812,4,,Charged,PALTEL,N
199,3,,Charged,Free,N
B0B,3,,Free,MOIP_Org,N
12,2,,Unknown,Unknown,N
105,3,,Unknown-T,Unknown,N
109,3,,Unknown,Unknown,N
118,3,,Free,Unknown,N
555,3,,Unknown-T,Unknown,N
1366,4,,Unknown-T,Unknown,N
1369,4,,Unknown-T,Unknown,N
1511,4,,Unknown-T,Unknown,N
1810,4,,Unknown-T,Unknown,N
1818,4,,Unknown-T,Unknown,N
3333,4,,Unknown,Unknown,N
17923,5,,Unknown-T,Unknown,N
30016,5,,Unknown-T,Unknown,N
151800,6,,Unknown-T,Unknown,N
1800059059,10,,Unknown-T,Unknown,N
1800112500,10,,Unknown-T,Unknown,N
1800200000,10,,Unknown-T,Unknown,N
1800222273,10,,Unknown-T,Unknown,N
1800321654,10,,Unknown-T,Unknown,N
1800405060,10,,Free,Unknown,N
1800600800,10,,Unknown-T,Unknown,N
1800622622,10,,Unknown-T,Unknown,N
1800700200,10,,Unknown-T,Unknown,N
1800700300,10,,Unknown-T,Unknown,N
15171,5,,Free,Ramadan Campagin,N
962797909090,12,,Unknown-T,Unknown,N
962797990000,12,,Unknown-T,Unknown,N
1199,4,,Free,Unknown,N
15777,5,,Free,Unknown,N
15999,5,,Unknown-T,Unknown,N
15444,5,,Free,Jawwal,N
15888,5,Free,Free,Ramadan,N
15201,5,,Free,Unknown,N
15203,5,,Free,Unknown,N
15333,5,,Free,Unknown,N
15204,5,,Free,Unknown,N
15205,5,,Free,Unknown,N
15206,5,,Free,Unknown,N
15207,5,,Free,Unknown,N
15209,5,,Free,Unknown,N
15210,5,Land Day,Free,,N
15212,5,Unknown,Free,,N
15213,5,Unknown,Free,,N
15222,5,Nescafe,Free,,N
15211,5,Daily and Monthly Bundles,Free,,N
15215,5,Labour Day,Free,,N
15214,5,Unknown,Free,,N
15255,5,Ramadan,Free,,N
15216,5,Unknown,Free,,N
15217,5,e5tar Ja2eztak,Unknown-T,,N
15218,5,china mobile,Free,,N
15223,5,,Free,,N
15225,5,,Free,,N
15342,5,,Free,,N
15355,5,,Free,,N
15357,5,,Free,,N
15385,5,,Free,,N
15401,5,,Free,,N
15402,5,,Free,,N
15398,5,,Free,,N
15399,5,,Free,,N
15391,5,,Free,,N
15341,5,,Free,,N
15344,5,,Free,,N
15345,5,,Free,,N
15348,5,,Free,,N
15350,5,,Free,,N
15351,5,,Free,,N
15371,5,,Free,,N
15373,5,,Free,,N
15375,5,,Free,,N
15383,5,,Free,,N
15384,5,,Free,,N
15386,5,,Free,,N
15441,5,,Free,,N
15443,5,,Free,,N
15445,5,,Free,,N
15343,5,,Free,,N
15346,5,,Free,,N
15356,5,,Free,,N
15374,5,,Free,,N
15380,5,,Free,,N
15442,5,,Free,,N
15451,5,,Free,,N
15452,5,,Free,,N
15352,5,,Free,,N
15455,5,,Free,,N
15454,5,,Free,,N
15453,5,,Free,,N
15353,5,,Free,,N
15458,5,,Free,,N
15347,5,,Free,,N
15370,5,,Free,,N
15376,5,,Free,,N
15377,5,,Free,,N
15378,5,,Free,,N
15381,5,,Free,,N
15382,5,,Free,,N
15421,5,,Free,,N
15459,5,,Free,,N
15461,5,,Free,,N
15463,5,,Free,,N
132,3,Unknown,Free,Jawwal,N
15208,5,Unknown,Free,Jawwal,N
15219,5,Unknown,Free,Jawwal,N
15220,5,Unknown,Free,Jawwal,N
15340,5,Unknown,Free,Jawwal,N
15349,5,Unknown,Free,Jawwal,N
15354,5,Unknown,Free,Jawwal,N
15358,5,Unknown,Free,Jawwal,N
15372,5,Unknown,Free,Jawwal,N
15379,5,Unknown,Free,Jawwal,N
15390,5,Unknown,Free,Jawwal,N
15392,5,Unknown,Free,Jawwal,N
15393,5,Unknown,Free,Jawwal,N
15394,5,Unknown,Free,Jawwal,N
15395,5,Unknown,Free,Jawwal,N
15396,5,Unknown,Free,Jawwal,N
15397,5,Unknown,Free,Jawwal,N
15403,5,Unknown,Free,Jawwal,N
15404,5,Unknown,Free,Jawwal,N
15422,5,Unknown,Free,Jawwal,N
15446,5,Unknown,Free,Jawwal,N
15447,5,Unknown,Free,Jawwal,N
15462,5,Unknown,Free,Jawwal,N
15464,5,Unknown,Free,Jawwal,N
15465,5,Unknown,Free,Jawwal,N
15466,5,Unknown,Free,Jawwal,N
C059,4,Unknown,Free,Jawwal,N
1800056056,10,Unknown,Free,Jawwal,N
1800100100,10,Unknown,Free,Jawwal,N
1800100200,10,Unknown,Free,Jawwal,N
1800101101,10,Unknown,Free,Jawwal,N
1800101102,10,Unknown,Free,Jawwal,N
1800102030,10,Unknown,Free,Jawwal,N
1800104104,10,Unknown,Free,Jawwal,N
1800110110,10,Unknown,Free,Jawwal,N
1800111234,10,Unknown,Free,Jawwal,N
1800111333,10,Unknown,Free,Jawwal,N
1800120120,10,Unknown,Free,Jawwal,N
1800120130,10,Unknown,Free,Jawwal,N
1800124125,10,Unknown,Free,Jawwal,N
1800124126,10,Unknown,Free,Jawwal,N
1800131313,10,Unknown,Free,Jawwal,N
1800133144,10,Unknown,Free,Jawwal,N
1800140140,10,Unknown,Free,Jawwal,N
1800170170,10,Unknown,Free,Jawwal,N
1800171717,10,Unknown,Free,Jawwal,N
1800200300,10,Unknown,Free,Jawwal,N
1800203204,10,Unknown,Free,Jawwal,N
1800220220,10,Unknown,Free,Jawwal,N
1800222111,10,Unknown,Free,Jawwal,N
1800222222,10,Unknown,Free,Jawwal,N
1800224422,10,Unknown,Free,Jawwal,N
1800234234,10,Unknown,Free,Jawwal,N
1800242242,10,Unknown,Free,Jawwal,N
1800242424,10,Unknown,Free,Jawwal,N
1800277277,10,Unknown,Free,Jawwal,N
1800300400,10,Unknown,Free,Jawwal,N
1800333111,10,Unknown,Free,Jawwal,N
1800333333,10,Unknown,Free,Jawwal,N
1800333555,10,Unknown,Free,Jawwal,N
1800333999,10,Unknown,Free,Jawwal,N
1800345345,10,Unknown,Free,Jawwal,N
1800400000,10,Unknown,Free,Jawwal,N
1800444333,10,Unknown,Free,Jawwal,N
1800444444,10,Unknown,Free,Jawwal,N
1800461555,10,Unknown,Free,Jawwal,N
1800500555,10,Unknown,Free,Jawwal,N
1800505050,10,Unknown,Free,Jawwal,N
1800556677,10,Unknown,Free,Jawwal,N
1800567567,10,Unknown,Free,Jawwal,N
1800606060,10,Unknown,Free,Jawwal,N
1800666222,10,Unknown,Free,Jawwal,N
1800700500,10,Unknown,Free,Jawwal,N
1800800700,10,Unknown,Free,Jawwal,N
1800800801,10,Unknown,Free,Jawwal,N
1800800850,10,Unknown,Free,Jawwal,N
1800800888,10,Unknown,Free,Jawwal,N
1800801802,10,Unknown,Free,Jawwal,N
1800807060,10,Unknown,Free,Jawwal,N
1800808080,10,Unknown,Free,Jawwal,N
1800830888,10,Unknown,Free,Jawwal,N
1800888333,10,Unknown,Free,Jawwal,N
1800888444,10,Unknown,Free,Jawwal,N
1800888800,10,Unknown,Free,Jawwal,N
1800123123,10,Unknown,Free,,N
1800800500,10,Unknown,Free,,N
15470,5,Unknown,Free,,N
15468,5,Unknown,Free,,N
161441,6,International,International,,Y
151999,6,,International,International,Y
151998,6,,International,International,Y
151996,6,,International,International,Y
151993,6,,International,International,Y
151925,6,,International,International,Y
151347,6,,International,International,Y
151071,6,,International,International,Y
122660,6,,International,International,Y
122561,6,,International,International,Y
121923,6,,International,International,Y
121686,6,,International,International,Y
121527,6,,International,International,Y
121273,6,,International,International,Y
